drink_id,name,type,temperature,sugar_level,caffeine_level,ingredient_ids,tags,popularity_score
48,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
49,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
50,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
51,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
52,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
53,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
54,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
55,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
56,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
57,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
58,Caffè Latte,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
59,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
60,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
61,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
62,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
63,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
64,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
65,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
66,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
67,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
68,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
69,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
70,Caffè Mocha (Without Whipped Cream),coffee,hot,regular,high,"[10, 19, 36]","['coffee', 'dessert']",0.75
71,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
72,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
73,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
74,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
75,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
76,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
77,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
78,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
79,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
80,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
81,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
82,Vanilla Latte (Or Other Flavoured Latte),coffee,hot,regular,medium,"[1, 10, 15, 36]",['coffee'],0.75
83,Caffè Americano,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
84,Caffè Americano,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
85,Caffè Americano,coffee,hot,regular,high,"[1, 10, 36]",['coffee'],0.75
86,Caffè Americano,coffee,hot,regular,high,"[1, 10, 36]",['coffee'],0.75
87,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
88,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
89,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
90,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
91,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
92,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
93,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
94,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
95,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
96,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
97,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
98,Cappuccino,coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
99,Espresso,coffee,hot,regular,medium,"[1, 10, 36]","['coffee', 'energy_boost']",0.75
100,Espresso,coffee,hot,regular,medium,"[1, 10, 36]","['coffee', 'energy_boost']",0.75
101,Skinny Latte (Any Flavour),coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
102,Skinny Latte (Any Flavour),coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
103,Skinny Latte (Any Flavour),coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
104,Skinny Latte (Any Flavour),coffee,hot,regular,medium,"[1, 10, 36]",['coffee'],0.75
105,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
106,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
107,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
108,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
109,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
110,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
111,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
112,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
113,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
114,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
115,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
116,Caramel Macchiato,coffee,hot,regular,medium,"[1, 10, 16, 36]",['coffee'],0.75
117,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
118,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
119,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
120,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
121,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
122,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
123,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
124,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
125,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
126,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
127,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
128,White Chocolate Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 20, 36]","['coffee', 'dessert']",0.75
129,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
130,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
131,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
132,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
133,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
134,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
135,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
136,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
137,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
138,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
139,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
140,Hot Chocolate (Without Whipped Cream),other,hot,regular,low,"[10, 19, 36]",['dessert'],0.75
141,Caramel Apple Spice (Without Whipped Cream),other,hot,regular,none,"[10, 16, 25, 36]",['dessert'],0.75
142,Caramel Apple Spice (Without Whipped Cream),other,hot,regular,none,"[10, 16, 25, 36]",['dessert'],0.75
143,Caramel Apple Spice (Without Whipped Cream),other,hot,regular,none,"[10, 16, 25, 36]",['dessert'],0.75
144,Caramel Apple Spice (Without Whipped Cream),other,hot,regular,none,"[10, 16, 25, 36]",['dessert'],0.75
145,Tazo® Tea,tea,hot,regular,medium,"[6, 10, 36]",['tea'],0.75
146,Tazo® Tea,tea,hot,regular,medium,"[6, 10, 36]",['tea'],0.75
147,Tazo® Tea,tea,hot,regular,medium,"[6, 10, 36]",['tea'],0.75
148,Tazo® Tea,tea,hot,regular,medium,"[6, 10, 36]",['tea'],0.75
149,Tazo® Chai Tea Latte,tea,hot,regular,low,"[1, 10, 25, 36]",['tea'],0.75
150,Tazo® Chai Tea Latte,tea,hot,regular,low,"[1, 10, 25, 36]",['tea'],0.75
151,Tazo® Chai Tea Latte,tea,hot,regular,low,"[1, 10, 25, 36]",['tea'],0.75
152,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
153,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
154,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
155,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
156,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
157,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
158,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
159,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
160,Tazo® Chai Tea Latte,tea,hot,regular,medium,"[1, 10, 25, 36]",['tea'],0.75
161,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
162,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
163,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
164,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
165,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
166,Tazo® Green Tea Latte,tea,hot,regular,low,"[1, 10, 36]",['tea'],0.75
167,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
168,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
169,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
170,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
171,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
172,Tazo® Green Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
173,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
174,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
175,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
176,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
177,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
178,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
179,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
180,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
181,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
182,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
183,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
184,Tazo® Full-Leaf Tea Latte,tea,hot,regular,medium,"[1, 10, 36]",['tea'],0.75
185,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
186,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
187,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
188,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
189,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
190,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
191,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
192,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
193,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
194,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
195,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
196,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),tea,hot,regular,none,"[1, 10, 15, 36]",['tea'],0.75
197,Iced Brewed Coffee (With Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
198,Iced Brewed Coffee (With Classic Syrup),coffee,iced,regular,high,"[10, 36]",['coffee'],0.75
199,Iced Brewed Coffee (With Classic Syrup),coffee,iced,regular,high,"[10, 36]",['coffee'],0.75
200,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
201,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
202,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
203,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
204,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
205,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
206,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,medium,"[10, 36]",['coffee'],0.75
207,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,high,"[10, 36]",['coffee'],0.75
208,Iced Brewed Coffee (With Milk & Classic Syrup),coffee,iced,regular,high,"[10, 36]",['coffee'],0.75
209,Shaken Iced Tazo® Tea (With Classic Syrup),smoothie,iced,regular,high,"[6, 10, 36]",['smoothie'],0.75
210,Shaken Iced Tazo® Tea (With Classic Syrup),smoothie,iced,regular,medium,"[6, 10, 36]",['smoothie'],0.75
211,Shaken Iced Tazo® Tea (With Classic Syrup),smoothie,iced,regular,medium,"[6, 10, 36]",['smoothie'],0.75
212,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),smoothie,iced,regular,medium,"[6, 10, 47, 36]",['smoothie'],0.75
213,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),smoothie,iced,regular,medium,"[6, 10, 47, 36]",['smoothie'],0.75
214,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),smoothie,iced,regular,medium,"[6, 10, 47, 36]",['smoothie'],0.75
215,Banana Chocolate Smoothie,smoothie,hot,regular,medium,"[10, 19, 36]",['smoothie'],0.75
216,Banana Chocolate Smoothie,smoothie,hot,regular,low,"[10, 19, 36]",['smoothie'],0.75
217,Banana Chocolate Smoothie,smoothie,hot,regular,low,"[10, 19, 36]",['smoothie'],0.75
218,Orange Mango Banana Smoothie,smoothie,hot,regular,low,"[10, 27, 36]",['smoothie'],0.75
219,Orange Mango Banana Smoothie,smoothie,hot,regular,none,"[10, 27, 36]",['smoothie'],0.75
220,Orange Mango Banana Smoothie,smoothie,hot,regular,none,"[10, 27, 36]",['smoothie'],0.75
221,Strawberry Banana Smoothie,smoothie,hot,regular,none,"[10, 44, 36]",['smoothie'],0.75
222,Strawberry Banana Smoothie,smoothie,hot,regular,none,"[10, 44, 36]",['smoothie'],0.75
223,Strawberry Banana Smoothie,smoothie,hot,regular,none,"[10, 44, 36]",['smoothie'],0.75
224,Coffee,coffee,hot,regular,none,"[10, 36]",['coffee'],0.75
225,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
226,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
227,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
228,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
229,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
230,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
231,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
232,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
233,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
234,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
235,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
236,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
237,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
238,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
239,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
240,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
241,Mocha (Without Whipped Cream),coffee,hot,regular,medium,"[10, 19, 36]","['coffee', 'dessert']",0.75
242,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
243,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
244,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
245,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
246,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
247,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
248,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
249,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
250,Caramel (Without Whipped Cream),other,hot,regular,medium,"[10, 16, 36]",['dessert'],0.75
251,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
252,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
253,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
254,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
255,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
256,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
257,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
258,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
259,Java Chip (Without Whipped Cream),other,hot,regular,medium,"[10, 36]",['dessert'],0.75
260,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
261,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
262,Coffee,coffee,hot,regular,medium,"[10, 36]",['coffee'],0.75
